idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
10	Árboles de palma con troncos altos y hojas verdes se elevan contra un cielo azul intenso y sin nubes. A la derecha, se observa parte de un poste de alumbrado público.	Junkúul xa'an jach ka'anal u che'il beyxan ya'ab u le' ya'ax.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	10854,10841,10837,10867,10866,10869,10847,10862,10829,10871,10842,10834,10836,10856,10853,10865,10088,10844,10858,10859,10848,29,10851,10833,6559,10838,10543,10852,1625,8271,4295,10849,10846,1075,10861,3285,618,9667,10860,10831,9047,2074,791,10824,4232,8198,10843,165,6544,1121,2974,10462,5437,1693,10329,127,4762,6320,8873,2510,10821,10863,5902,10868,10343,5106,10061,7166,7616,359,7603,9060,8712,8063,10440,3650,3952,7368,6273,10405	7,20,32,34,49,15,19,25,40,44,45,12,36,37,43,47,1,2,9,13,14,22,24,27,31,6,11,16,18,21,26,29,30,39,41,0,5,23,28,38,42,46,48,4,17,33,35,3,8	14974	28	15002	
11	Un panel blanco con motivos geométricos verdes y un diseño de cruz estilizada en negro, ubicado detrás de hierba seca y rodeado de árboles. En primer plano, una acera de baldosas rojas y una sombra proyectada sobre el suelo.	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' yaan su'uk yéetel che'ob.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	10862,10854,10834,10844,10824,10853,10871,10822,10865,10861,10837,10836,10856,10866,10843,10868,10869,9667,10863,10859,10829,10849,74,2397,4870,10828,2614,10832,10840,10848,10846,10847,10405,157,10845,10841,10842,1753,10286,10860,1916,2130,7368,10855,3904,5711,6995,10867,2840,10835,10852,5417,10864,703,8421,10823,10831,8087,618,6544,6320,5305,1306,4666,10826,10677,8864,3077,10858,394,2642,7690,488,990,347,717,881,5545,10599,127	40,2,22,0,6,15,32,34,37,43,49,7,12,13,14,21,24,25,30,31,36,39,41,47,4,17,18,19,20,23,26,27,33,44,45,46,48,1,5,9,10,16,28,29,35,38,42,3,8	13123	39	13162	
12	Una planta con flores de color rosa intenso y hojas verdes crece junto a una cerca de alambre de púas. El suelo alrededor está cubierto de tierra seca y restos vegetales.	Junkúul sakchak lool yaan tu tséel junp'éel k'i'ixil k'óot.	Junkúul k'áax yaan u loolo'ob de sakchak.	10871,10862,10837,10843,10869,10839,10863,10840,10841,10832,10860,10833,10854,10829,10827,10835,10838,10836,10842,10830,10848,10865,10831,10851,10846,10849,10853,6002,10861,10864,10824,8864,10858,10868,8995,10775,9667,8495,10855,3761,10847,10825,10856,3904,10845,6320,4922,114,444,9239,2111,3066,9443,6342,5868,394,10826,1510,4720,2998,1569,5323,6668,3669,10677,42,3336,8063,7068,8638,1625,4733,4222,6435,618,10828,5828,6065,10859,5711	49,21,13,40,5,7,15,17,18,43,6,10,11,20,32,34,41,47,2,9,14,19,24,25,26,27,29,36,37,38,39,1,8,16,22,23,30,31,33,42,0,3,4,44,46,48,28,35,45	12519	30	12549	
13	Una casa de paredes amarillas con rejas metálicas en las ventanas y una escalera de concreto que lleva a su entrada. A la izquierda, un automóvil rojo está estacionado junto a una cerca de madera blanca, con palmeras y cables eléctricos visibles en el entorno.	Junp'éel k'an naj yéetel rejas tu joolnajo', tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	10865,10829,10830,10862,10834,10860,10861,10847,10864,10842,10871,10840,10844,10856,10831,10848,10843,10846,10845,10825,10863,10855,10836,10677,10869,10827,10870,2134,10828,10859,9667,8995,10833,10839,10823,10824,3904,3596,10854,1916,3068,4666,618,10837,10853,10018,10822,4922,6002,10868,5417,3066,10852,10775,10866,1569,8638,6320,5711,10857,10858,9430,1753,10286,8143,1746,1306,394,5828,4733,10405,2056,6649,114,9195,2642,7690,8087,42,1625	34,7,43,6,20,21,22,25,40,49,1,12,18,23,39,2,5,14,24,26,37,38,48,9,11,15,17,30,32,33,36,41,42,47,0,8,10,27,31,3,16,19,28,35,44,46,4,29,45	12572	36	12608	
14	Una planta de agave con un tallo alto y ramas que llevan inflorescencias verdes y marrones, en un entorno con árboles y estructuras metálicas al fondo.	Junkúul ya'ax ki' yaan u loolo'ob tu yóok'ol.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	10837,10841,10865,10853,10869,10862,10851,10832,10861,10866,10834,10833,10871,10854,10852,10842,10843,10835,10857,10858,1916,10828,10856,9667,10824,10847,1753,10286,4410,10846,6342,10848,10859,10838,9224,10870,10844,10831,4994,10829,6644,10863,1215,8063,10822,5106,9710,8271,10849,4786,2840,791,10826,6281,10343,10840,10088,1625,2659,8539,10405,8873,2642,7690,6544,1121,10850,8773,127,4762,4836,9060,3904,10329,618,10823,1048,7747,10860,4595	15,19,43,13,31,34,36,40,47,49,6,11,20,21,24,25,30,39,44,0,1,2,4,7,10,12,16,22,26,27,29,32,35,37,48,9,17,18,23,28,33,38,41,46,5,42,45,3,8	13160	24	13184	
15	Una planta de papaya con frutos verdes agrupados en el centro, rodeada de hojas grandes y algunas secas, en un entorno tropical con árboles y cielo nublado.	Junkúul puut yaan u yich, yaan xan u le'o'ob, paachile' ya'akach che'ob yéetel yaan xan muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	10836,10860,10869,10832,10854,10862,10841,10834,10848,10849,10858,10842,10867,10853,10865,10871,10861,10859,10833,10851,10843,10857,10866,10831,10847,10838,10829,10868,10856,9667,10824,4410,618,9690,10863,10828,6342,10844,2991,1753,10286,10835,10462,10846,10855,3904,632,1916,10852,6320,29,10822,5106,10840,10826,9634,10088,8063,127,4762,394,8271,1075,10823,10405,2642,7690,3276,5209,76,10343,10736,10839,2299,6841,9971,1302,10157,1121,1426	14,36,40,32,43,47,49,10,11,12,19,20,25,26,31,37,38,2,6,7,13,21,22,27,30,34,39,45,0,9,16,17,24,29,33,35,41,44,46,1,4,5,18,23,28,48,42,3,8	13146	46	13192	
16	Una flor de color púrpura intenso con forma de campana se destaca entre follaje verde en un entorno natural.	Junp'éel lool ch'ojchak u bonil.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	10871,10834,10868,10857,10831,10862,10853,10846,10842,10861,10843,10840,10837,10832,10856,10836,10869,10867,3904,10841,4711,10852,10863,10859,10824,9102,4407,3027,10848,5127,7340,4500,8914,1613,6307,10864,10750,9667,10847,10823,10854,10866,10844,108,10833,10858,10405,1402,2276,3965,8444,9094,5605,2029,4622,10280,2151,3068,10440,7488,10659,6597,8125,5593,10829,5545,7482,10865,5265,561,5493,10249,10835,8502,9389,1775,3560,5137,9239,1133	49,24,34,40,2,14,15,19,20,21,22,25,30,31,35,36,37,39,46,47,0,6,7,9,10,11,12,13,18,26,28,41,43,44,45,1,4,5,17,23,27,29,32,33,38,42,48,3,8	13981	15	13996	
17	Una gallina blanca con cresta roja está picoteando en el suelo de tierra y piedras.	Juntúul sak kaax táan u jantik ba'al yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	10834,10869,10824,10827,10862,10863,10859,10865,10860,10840,10858,10843,10856,9443,10848,10828,1510,10835,10830,10825,3723,10846,10589,5868,2872,10847,8063,4922,3647,5323,60,8810,7068,8951,2881,4720,618,10845,10855,6649,114,10660,4222,6435,8679,9667,10736,1125,9211,6564,6837,8298,2859,1599,6323,10833,3967,6668,5224,9598,33,10837,5821,3904,10871,1259,6320,8907,7240,4666,4363,10145,9709,6002,5463,5338,394,3551,10861,3817	2,12,40,5,6,13,21,25,34,36,37,43,47,11,15,22,24,26,30,33,38,41,49,0,7,14,18,20,23,31,32,39,1,3,4,8,9,16,19,27,28,29,35,44,46,48,10,42,45	13719	23	13742	
18	Una banca de madera vieja y desgastada descansa junto a una pared de color rojizo con grafiti, frente a una ventana con reja de hierro forjado. A su lado, un tronco cortado sirve como banco o soporte, sobre un suelo de concreto.	Junp'éel úuchben kúuchil kulukbal tu tséel junp'éel chak pak' yaan u ts'íib.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	10864,10863,10868,10861,10834,10862,10845,10846,10860,10856,10842,10859,10871,10835,10830,10857,10829,10825,10831,10823,10827,10844,10843,10838,10865,10870,10847,10828,10824,10869,10858,10833,5417,10839,10848,10405,6736,9667,10854,10822,4666,2634,10853,10866,6995,8995,1625,9949,1916,10677,10855,5711,3068,3884,9265,10852,10837,1306,10836,10841,9195,9653,1753,10286,4500,8914,3077,1291,3904,3997,10155,7482,6320,2299,2840,114,10770,8864,3066,347	34,42,13,23,39,1,7,12,20,24,37,40,41,49,6,9,21,22,38,43,48,0,2,5,11,25,36,46,47,3,8,10,14,15,16,17,19,26,27,30,31,32,35,44,4,28,29,33,45	13052	34	13086	
19	Un árbol grande con tronco grueso y ramas extendidas, cubierto de hojas verdes brillantes bajo luz solar. Al fondo, se ven hojas de palma y vegetación densa en un entorno tropical.	Junkúul nojoch che' yaan u k'ab yéetel u le' ya'ax.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	10849,10871,10866,10847,10842,10851,10832,10869,10837,10854,10860,10862,10836,10867,10834,10853,10850,10843,10848,10858,10859,10857,560,10861,10829,10868,10833,10343,10852,10846,10856,10840,4410,5896,10838,4363,29,9841,1995,10826,2517,6018,8271,10823,4994,10828,8873,9667,10824,1612,3812,10865,6544,10845,791,10844,10677,5821,2840,2118,7739,10870,127,4762,3120,1957,7368,5106,5437,1753,10286,8063,165,1121,1916,9060,8880,1625,917,4787	49,25,44,36,14,20,27,40,10,15,21,24,29,31,37,47,7,28,32,34,38,45,2,4,6,11,12,16,22,26,30,35,39,43,46,0,1,13,18,23,41,48,9,17,33,5,42,3,8	12497	25	12522	
