id	prediction	reference	chrfpp_sentence
11	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' yaan su'uk yéetel che'ob.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	31.4295
12	Junkúul sakchak lool yaan tu tséel junp'éel k'i'ixil k'óot.	Junkúul k'áax yaan u loolo'ob de sakchak.	34.9477
13	Junp'éel k'an naj yéetel rejas tu joolnajo', tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	43.0770
14	Junkúul ya'ax ki' yaan u loolo'ob tu yóok'ol.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	34.3373
15	Junkúul puut yaan u yich, yaan xan u le'o'ob, paachile' ya'akach che'ob yéetel yaan xan muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	37.8524
16	Junp'éel lool ch'ojchak u bonil.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	10.1220
17	Juntúul sak kaax táan u jantik ba'al yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	57.8475
18	Junp'éel úuchben kúuchil kulukbal tu tséel junp'éel chak pak' yaan u ts'íib.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	33.2070
19	Junkúul nojoch che' yaan u k'ab yéetel u le' ya'ax.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	27.4710
20	Junp'éel naj beeta'an yéetel che' yéetel u yóok'ole' tikin le'ob, yéetel junp'éel lona azul tu yóok'ol, tu tséel junp'éel nojoch che' ichil k'áax.	Junp'éel u naj k'áax beyxan yaan tu táanil junkúl che'.	27.7211
21	Juntúul ko'olel yéetel sak nook' yaan u loolo'ob, táan u wa'atal tu tséel junp'éel k'áax.	Nojoch máak yéetel u huipil de flores jejeláas bonilo'ob, wa'akbal tu tsel U pak'alo'ob.	23.2756
22	Ichil naj beeta'an yéetel che' yéetel bej, yaan k'áak' tu'ux ku ch'a'abal janal, yéetel yaan xan nu'ukulo'ob ch'uyukbalo'ob tu pak'il, yéetel jump'éel cubeta azul yaan tu lu'umil.	Chi' k'aak' yettel nixtamal ti naaj.	13.6832
23	Nojoch k'áak' yéetel k'áax, tu tséelile' yaan jump'éel nojoch k'áak' yéetel jump'éel chan k'áak'.	Ki'iwaj ku lo'kansaj	6.4237
24	Juntúul máak ku janal tu tséel junp'éel chak k'áanche', tu paachile' yáan junp'éel koot.	Jump'éel naj tu'ux ku ts'áajal polcanes, yáan nu'ukulo'ob yook'ol mesa, yéetel jump'éel ollia paachil juntúul máak ku k'aaxik jump'éel bolsaa.	24.3550
25	Juntúul miis kulukbal tu jool naj, tu paachile' yaan ya'akach che'ob.	Jump'éel xa'anil naj tu'uxan juntúul chan míis p'ukukbal chumuk, paachile' sáasil yéetel k'íin, yáan ya'akach kúul che'ob ku wilk'ajab, yéetel xane´muñalo'ob ku mano'ob.	21.4176
26	Juntúul ko'olel táan u ts'a'abal u janal tu tséel ya'abach k'áax.	Máak ku tsiktik kaax yeetel ku patikk tamali'	9.7295
27	Junp'éel pak' tuunich yaan tu tséel ya'abach che'ob yéetel tikin su'uk, sáasil k'íin ku jultik tu yóok'ol.	Jump'éel solar tu'ux yáan ya'akach kúul che'ob tu pachil, táanile' yáan xiimo'ob ts'u jolo'ochtalo'ob, yóok'ole' yáan bu'ul ku t'i'it'pajal, taanile' yaan jump'éel koot chowak.	18.0080
28	Winik ku xíimbal ichil k'áax.	Winik ku xiimbal ti k'aax.	43.9604
29	Junp'éel melón yaan u bonil ya'ax yéetel sak, yaan tu tséel tuunicho'ob yéetel ya'akach che'ob.	K'uum ku kajal u tak'antaj yook'ol boox lu'um, tu ba'asche' yáan ya'akach tunicho'ob yéetel k'áaxo'ob.	29.9498
30	Tikin nal ku p'atal tu tséel bej, juntúul máak ku xiimbal tu paach.	Winik wa'akbal yáanal ya'akach che'ob, táanile' óoxp'el kul xiim, yéetel kaanle' azul mina'an muñal ku wilk'ajab.	13.0240
31	Junp'éel nal tikin yéetel xeej, yéetel u le'o'ob k'an, ch'uyukbal ti' junp'éel nojoch che' ichil ya'ax k'áax yéetel che'ob yáanal junp'éel azul ka'an.	Xiim ts'ok u jaantal tumen ba'alche'ob, paachile' ya'akach che'ob ya'axtako'ob, mina'an muñal ku man ka'anal.	24.8849
32	Junp'éel k'ab che' ya'ax u le' yéetel u k'u' ch'íich' ti' yaan yóok'ol sáasil ka'an.	Sáasil k'íin ku jultik jump'éel chan nido chan ch'iich ch'uyukbal tu kul k'i'ixil che', azul le ka'analo'.	19.0916
33	Ya'ab máako'ob ku máano'ob ichil junp'éel naj, paachile' yaan junp'éel bandera.	U noj najil ku' tuux much'ukbal ya'akach winiko'ob, táanile' jump'éel nok' u bonilo'obe' yáax, sak, yéetel chak, chúumuke' ch'uyukbal banderrillas jejeláas bonilo'ob.	16.1316
34	Óoxp'éel ch'o'och'och' tunich yaan yóok'ol junp'éel boox nu'ukul, tu tséelile' yaan junp'éel ya'ax joolnaj.	Kiiwaj maka'an yettel block.	12.3991
35	Winik ku kaxik junkúl che' yéetel su'um.	Winik ku k'aaxik u si' yeetel aak'.	34.3083
36	Ichil jump'éel naj yéetel xa'anil naj, ya'ab máako'ob ku chumukbalo'ob yóok'ol lu'um, ka'atúul peek'o'ob ku paktiko'ob táanil.	Peek'o'b walakbalo'ob jool naj, ichil le najo' yáan wíiniko'ob kulukbalo'ob, paachile' yáan che'ob yéetel jump'éel naj.	36.7241
37	Juntúul boox peek' ku weenel yook'ol bej, tu tséelile' jump'éel pak' tuunich yéetel ya'ax k'áax, paachile' jump'éel sak naj u yóok'ole' azul.	Chan peek' chilikbaj yook'ol carretera, paachile' yáan ya'akach che'ob yéetel jump'éel chowak koot, tu taamile' yáan jump'éel sak naj.	40.4226
38	Junp'éel naj beeta'an yéetel che' yéetel su'uk, yaan junp'éel bicicleta tu tséel, yéetel ya'abach kúul che'ob tu ba'asche'.	Bicicleta najkunsa' tseel úuchben xa'aninaj.	21.7228
39	Juntúul ch'íich' yaan yóok'ol che', tu tséelile' yaan junp'éel nu'ukul.	Baach u mot'mubal tu weenel tu tsel apagador ichil naj.	14.7124
40	Juntúul boox yéetel sak miis wa'akbal yóok'ol junp'éel che'il naj, tu paachile' yáan ya'ax le'ob, tu taamile' yáan junp'éel naj beeta'an yéetel k'a'an.	Chan míis ku máan yook'ol lamina, yóok'ole' junkúul che', tu tséelile' jump'éel cubeta ch'uyukbal, paachile' jump'éel naj u yóok'ole' de lamina.	29.8378
41	Juntúul máak ku ts'áaik bu'ul ichil junp'éel nu'ukul.	Juntúul máak ku xiixtik sak ibo'ob.	40.7499
42	Juntúul k'an míis ku weenel yóok'ol junp'éel koot tuunich.	Le miiso' te chilikbal yookol le pak'il le najo'.	12.9188
43	Junp'éel camión yaan tu tséel junp'éel naj, yáan xan junp'éel chak k'áanche', paachile' ya'akach che'ob yéetel sáasil ka'anal.	Tu tséel le sakchak najo', yaan  junpeel sak kisbuuts' yéetel junkúl xa'an.	29.6057
44	Junkúul che' mina'an u le' yaan tu tséel junp'éel torre, paachile' yaan xa'ano'ob.	Le che'o' mina'an u le', ba'ale' ya'ab u yich tu tséele' yaan junkuul xa'an.	42.7872
45	Junkúul che' mina'an u le', ba'ale' yaan u yich, tu paachile' yaan ka'an yéetel sak muñalo'ob.	Le sakpakalo'obo' ti'  yano'ob tu k'ab le che'o', le cheo' ya'ab u yich.	26.5616
46	Juntúul boox pepen yaan u chak boonil ku je'elel tu k'ab junp'éel che' ya'ab u le' yáanal junp'éel azul ka'an.	Le boox péepen ti' yaan tu k'ab le che'o'.	30.5206
47	Juntúul sak t'eel yéetel u chak k'o'oy yéetel juntúul boox kaax yano'ob ich k'áax.	Juntúul sak kaax yéetel juntúul book kaax ti ya'ano'ob yaanal le che'o'.	46.5162
48	Junp'éel boonil ti' pak' tu'ux ku yila'al juntúul máak táan u ts'íibtik junp'éel ba'al yóok'ol junp'éel tuunich.	Te boona' ya'an juntúul ch'uup ku yiik biix u taabal le k'áako'.	24.7508
49	Junkúul che' yaan u loolo'ob de sakchak tu tséel junp'éel carretera.	Junkúul sakchak lool yaan yookol le bejo'.	32.8587
