idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
10	Árboles de palma con troncos altos y hojas verdes se elevan contra un cielo azul intenso y sin nubes. A la derecha, se observa parte de un poste de alumbrado público.	Junkúul xa'an jach ka'anal u yook'ol le ka'analo'.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.		7,20,32,34,49,15,19,25,40,44,45,12,36,37,43,47,1,2,9,13,14,22,24,27,31,6,11,16,18,21,26,29,30,39,41,0,5,23,28,38,42,46,48,4,17,33,35,3,8	3867	23	3890	
11	Un panel blanco con motivos geométricos verdes y un diseño de cruz estilizada en negro, ubicado detrás de hierba seca y rodeado de árboles. En primer plano, una acera de baldosas rojas y una sombra proyectada sobre el suelo.	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' ya'akach che'ob, táanile' yaan jump'éel chak k'áanche'.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.		40,2,22,0,6,15,32,34,37,43,49,7,12,13,14,21,24,25,30,31,36,39,41,47,4,17,18,19,20,23,26,27,33,44,45,46,48,1,5,9,10,16,28,29,35,38,42,3,8	3846	51	3897	
12	Una planta con flores de color rosa intenso y hojas verdes crece junto a una cerca de alambre de púas. El suelo alrededor está cubierto de tierra seca y restos vegetales.	Junkúul sakchak lool yaan tu tséel junp'éel k'i'ixil k'áan.	Junkúul k'áax yaan u loolo'ob de sakchak.		49,21,13,40,5,7,15,17,18,43,6,10,11,20,32,34,41,47,2,9,14,19,24,25,26,27,29,36,37,38,39,1,8,16,22,23,30,31,33,42,0,3,4,44,46,48,28,35,45	3873	30	3903	
13	Una casa de paredes amarillas con rejas metálicas en las ventanas y una escalera de concreto que lleva a su entrada. A la izquierda, un automóvil rojo está estacionado junto a una cerca de madera blanca, con palmeras y cables eléctricos visibles en el entorno.	Junp'éel k'an naj yéetel u rejao'ob de fierro, tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.		34,7,43,6,20,21,22,25,40,49,1,12,18,23,39,2,5,14,24,26,37,38,48,9,11,15,17,30,32,33,36,41,42,47,0,8,10,27,31,3,16,19,28,35,44,46,4,29,45	3857	38	3895	
14	Una planta de agave con un tallo alto y ramas que llevan inflorescencias verdes y marrones, en un entorno con árboles y estructuras metálicas al fondo.	Junkúul ya'ax ki' yaan u loolo'ob tu tséel ya'abach che'ob.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.		15,19,43,13,31,34,36,40,47,49,6,11,20,21,24,25,30,39,44,0,1,2,4,7,10,12,16,22,26,27,29,32,35,37,48,9,17,18,23,28,33,38,41,46,5,42,45,3,8	3870	29	3899	
15	Una planta de papaya con frutos verdes agrupados en el centro, rodeada de hojas grandes y algunas secas, en un entorno tropical con árboles y cielo nublado.	Junkúul puut yaan u yich, tu tséelile' ya'akach che'ob, yóok'ole' yaan muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.		14,36,40,32,43,47,49,10,11,12,19,20,25,26,31,37,38,2,6,7,13,21,22,27,30,34,39,45,0,9,16,17,24,29,33,35,41,44,46,1,4,5,18,23,28,48,42,3,8	3860	39	3899	
16	Una flor de color púrpura intenso con forma de campana se destaca entre follaje verde en un entorno natural.	Le lela' junp'éel lool morado.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.		49,24,34,40,2,14,15,19,20,21,22,25,30,31,35,36,37,39,46,47,0,6,7,9,10,11,12,13,18,26,28,41,43,44,45,1,4,5,17,23,27,29,32,33,38,42,48,3,8	3857	14	3871	
17	Una gallina blanca con cresta roja está picoteando en el suelo de tierra y piedras.	Juntúul sak kaax ku janal yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.		2,12,40,5,6,13,21,25,34,36,37,43,47,11,15,22,24,26,30,33,38,41,49,0,7,14,18,20,23,31,32,39,1,3,4,8,9,16,19,27,28,29,35,44,46,48,10,42,45	3874	18	3892	
18	Una banca de madera vieja y desgastada descansa junto a una pared de color rojizo con grafiti, frente a una ventana con reja de hierro forjado. A su lado, un tronco cortado sirve como banco o soporte, sobre un suelo de concreto.	Úuchben che' kulukbal tu tséel pak'il, tu táanile' yaan jump'éel ventana, tu tséelile' yaan jump'éel che' ts'o'ok u ch'ak'al.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.		34,42,13,23,39,1,7,12,20,24,37,40,41,49,6,9,21,22,38,43,48,0,2,5,11,25,36,46,47,3,8,10,14,15,16,17,19,26,27,30,31,32,35,44,4,28,29,33,45	3851	55	3906	
19	Un árbol grande con tronco grueso y ramas extendidas, cubierto de hojas verdes brillantes bajo luz solar. Al fondo, se ven hojas de palma y vegetación densa en un entorno tropical.	Junkúul che' jach nojoch u k'ab, ya'ax u le', paachile' ya'abach xa'an.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.		49,25,44,36,14,20,27,40,10,15,21,24,29,31,37,47,7,28,32,34,38,45,2,4,6,11,12,16,22,26,30,35,39,43,46,0,1,13,18,23,41,48,9,17,33,5,42,3,8	3864	34	3898	
