idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
10	Una flor de color rosa pálido con pétalos suaves y bordes ligeramente ondulados, en un entorno con follaje verde desenfocado.	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" ika se tokatl ipan."	Se gladiolajxochitl non achtsin youakik.	16169,16159,16188,16153,16170,16191,10556,16156,16163,16178,16173,16179,16172,16146,16160,16171,16158,16176,16180,16189,16152,16177,12113,9132,16183,10300,16186,5485,16162,4277,2142,9644,15332,16185,13682,16182,16161,16187,12237,16165	14,8,24,43,46,18,25,31,33,7,11,13,15,26,27,28,35,37,38,1,17,20,22,32,34,36,41,42,47,49,0,2,3,4,5,6,9,16,21,23,29,39,40,44,45,48,19,30,12	6299	25	6324	
11	Una flor naranja con pétalos densos y hojas verdes en el fondo, junto a una pared de textura rugosa.	Se kostik senpoalxochitl inauak se tepantli.	Se kualtsin senpoalxochitl non melajka xochitl.	16188,16191,16159,16153,16169,16170,16158,16179,16155,16177,16183,16193,16168,16194,16181,16192,16187,16190,12237,16175,4187,16178,12240,16154,16165,2823,2506,10747,16186,16180,4887,4224,15349,16184,16166,16171,832,13639,16146,5120	14,8,43,46,48,49,13,25,38,42,47,9,10,23,24,32,33,36,41,4,7,17,18,20,21,22,26,31,34,35,39,45,0,1,3,5,15,27,29,37,40,2,6,16,28,30,44,19,12	6231	17	6248	
12	Una carretera asfaltada con línea amarilla se extiende entre vegetación densa bajo una densa niebla. No se observan personas ni elementos culturalmente identificables.	Se ojtli tlen tlakoloua uan semi tlamixtentok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	16192,16182,16185,16190,16164,16194,16184,16183,16166,16177,16159,16173,5031,15919,16179,16189,16153,16168,8523,16158,16152,14649,16193,4436,1562,16160,16178,16148,16151,9746,7497,16150,16191,8214,16180,11458,16170,16161,16176,16171	37,45,47,19,21,23,32,38,39,40,3,8,13,14,25,31,33,44,49,0,5,6,7,15,16,18,22,28,29,30,34,35,36,46,48,1,2,9,10,11,17,20,24,26,27,41,42,43,4	6283	18	6301	
13	Una flor púrpura de plátano se asoma entre hojas verdes y amarillas en un entorno tropical. El suelo está cubierto de hojas secas y vegetación baja.	"Se xochitl tlen kiluiaj ""kuaxiloxochitl""."	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	16153,16159,16170,16191,16179,16186,16194,16188,16184,16180,16156,16171,16173,16190,2616,4187,16183,2823,16169,16154,16155,12999,16151,16165,16185,16146,12258,16192,4201,16168,1069,2506,16175,8840,16163,1193,1604,2161,2943,3263	8,14,49,25,41,46,18,26,38,39,43,9,11,23,28,31,33,34,35,45,7,10,17,22,32,40,47,1,3,4,6,19,20,24,36,37,42,44,48,0,15,21,27,29,2,5,12,16,30	5656	17	5673	
14	Una flor de color púrpura con pétalos largos y una parte amarilla en el centro, cuelga de un tallo verde entre hojas grandes y verdes en un entorno natural.	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" non youakik."	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	16153,16191,16188,16169,16158,16170,16155,16173,16156,16179,16171,16183,16180,16168,16146,16190,16154,16186,16165,16178,16152,16176,16163,5381,16160,16157,16194,16189,16192,9132,16177,832,16185,7890,13649,3076,16184,16162,16187,16161	8,43,46,13,10,25,11,24,26,38,18,28,31,7,9,23,33,34,35,41,49,15,20,22,32,37,40,42,45,47,0,1,3,4,17,27,36,39,44,48,2,5,6,16,19,21,29,12,30	6401	21	6422	
15	Una extensión de hierba verde con árboles frondosos en primer plano, y al fondo montañas con una cima nevada bajo un cielo azul claro con nubes dispersas.	Se tlalxochimil inauak kuajyo. Ik uejka tepeyo ika se tlatsompan tlajtlapaltik.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	16177,16151,16168,16182,16174,16152,16166,16189,16145,16164,16178,16163,16176,16161,16172,16155,16185,16191,16165,16169,16175,16159,16154,16183,12113,16179,16148,16146,16180,16186,16162,16190,16157,15930,16187,2142,16194,3034,16167,13990	37,6,32,23,29,7,18,31,33,0,21,10,14,19,20,22,27,35,36,38,46,49,3,4,5,8,9,16,17,24,26,28,40,41,42,43,44,45,47,48,1,2,11,13,34,39,25,30,12	6895	34	6929	
16	Cuatro personas preparan comida en una cocina casera, con un hombre usando un delantal azul y otro sosteniendo un vaso, mientras dos mujeres cortan vegetales sobre una mesa con ingredientes y utensilios alrededor.	Nahui tlakamej kintlakualchijchiuaj. Ome siuamej kitejteki kilitl.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	16179,16147,16145,16148,16146,16160,16167,16162,16168,16150,14801,16177,10226,9028,16191,16189,16169,16175,9766,2142,7117,16152,16178,6623,16165,16183,14669,16151,15469,16159,16181,12410,16192,16187,11251,16166,9132,16186,16155,5827	2,3,5,22,0,1,7,15,17,24,34,36,37,38,46,6,8,10,14,18,20,23,26,31,32,33,35,41,42,43,44,45,47,49,4,9,11,13,21,27,28,29,30,39,40,48,12,25,19	6532	28	6560	
17	Una mujer con un huipil bordado de flores azules y amarillas está cortando carne sobre una tabla de madera en un espacio con paredes de piedra. A su lado hay un recipiente con arroz blanco y un balde verde.	Se siuatsintli ika ihuepil tlen xochijyo kitejteki nakatl.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	16146,9132,16181,16194,16147,16167,16186,16161,16178,16166,16191,16145,16192,2142,16154,16174,9766,16189,16148,16169,16179,16187,16165,16190,16152,16151,16168,3223,16160,16183,16180,16159,3034,12410,16155,16158,13990,6341,16177,15535	49,1,36,41,9,22,42,47,0,2,4,7,13,18,21,33,35,38,46,48,3,5,6,8,10,11,14,15,16,20,24,26,27,29,31,37,39,43,45,23,28,32,34,40,44,25,30,19,12	6590	23	6613	
18	La imagen muestra troncos de árboles en un bosque denso, con corteza moteada y varias estructuras hexagonales de cera adheridas a sus ramas. El entorno está lleno de follaje verde y se vislumbra cielo azul entre las hojas.	Se kuajyo ika miakej kuaujtleno uan seki xikojtli.	Se xonokuauitl ika xonokuilmej.	16177,16164,16153,16185,16169,16155,16160,16188,6227,16173,16159,16168,16154,16176,16178,16182,16158,16165,16189,466,16180,16151,16174,16183,16146,16145,9887,4953,2992,16186,16171,12113,14957,13038,11554,16179,12194,15042,10340,13756	31,32,8,19,33,37,38,4,9,13,14,15,23,40,41,43,0,7,10,21,29,47,49,1,6,17,20,22,24,26,28,35,39,42,44,48,2,3,5,11,27,36,45,16,25,34,46,30,12	7241	24	7265	
19	La imagen muestra una extensa vista de montañas cubiertas de bosque denso bajo un cielo parcialmente nublado. Se observan líneas eléctricas cruzando el primer plano entre la vegetación.	Se uejka tepeyo uan tlamixtentok.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	16182,16174,16168,16160,16163,16180,16177,16153,16157,16165,16183,16188,16151,16166,16154,16145,1830,11194,13684,16146,16190,16178,16189,8661,16185,771,1387,13191,14869,15907,4602,13786,16192,16176,15590,6343,12658,16159,11554,16150	37,18,23,29,32,38,0,8,15,21,31,9,13,33,35,43,3,6,7,12,14,20,22,39,40,41,44,45,47,4,5,25,26,27,28,36,42,49,1,10,11,17,30,46,48,2,16,24,34	7223	15	7238	
