id	prediction	reference	chrfpp_sentence
13	Se tlilxochitl ipan se kuaxiloxihuitl.	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	21.1575
14	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" non yopejki pitsuaki."	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	20.8974
15	Se tlalxokotl ika kuajyo uan ik uejka se tepetl ika se sepayauak tsontli.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	36.0951
16	Nahui tlakamej kichiuan tlakuali. Ome siuamej kitejtekej kilitl.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	20.9323
17	Se siuatsintli ika ixochiuipil kitemojtok nakatl.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	19.4973
18	Kuajyo ika miakej kuautlakamej.	Se xonokuauitl ika xonokuilmej.	20.6062
19	Se tepeyo ika kuajyo uan tlamixtentok.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	19.6529
20	Se tlakatsin tlatlakentok ika tliliuik uan kikuik se mochila.	Se siuatsintli nemi ipan se teyo ojtli kanin kuajyo.	23.5912
21	Se kuauhtlatsakuil ipan se tepetl. Tlamixtentok.	Se tepetsintli kiyaualojtok kuautitlamitl uan semi tlamixtentok.	30.8043
22	Sekimej maseualmej tlachixtokej se tiankistli.	Itech se mantajkaltsintli kintetliokolilia tlakuali akinmej uejka uitsej. Nochtin motlakentiaj ika inmialtepetsotsol.	11.0500
23	Se ixtlauaktsintli inauak tepeyo. Ik uejka kajki se altepetl.	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok tepeyo uan mixtli.	31.6992
24	Se xochitl non achtsin xochiyoua.	Se kostik senpoalxochitl.	26.5889
25	Se pitsauaxochitl ika youakik xochitl.	Se matlalxochitl kualtsin uan se non yopitsuakik.	25.1926
26	Se atempan tlachipajtok.	Se ameyali uetsi ipan temej ijtik tepetl.	16.8935
27	Se talkamoj non kipia iyollo.	"Seki tlalkamojtli uan se motasneki ken se ""yolotl""."	17.8373
28	Se ameyali tlaloa intzalan temej uan xiuitl.	Se ueyatsintli ika temej tlen ipan tlapajpakaj.	22.3319
29	Sekimej maseualmej tlachixtokej se kuauhtekuitl. Kiyaualojtok tepeyo uan tlamixtentok.	Seki altepetlakamej uan topilmej kitookaskej akin omomikili. Katej itlanpa se kuauitl uan ik uejka kajki se tepetl ika se ojtli itlajkotia.	19.0512
30	Se kuetzpalin ika kuetlapan tlaxoxouik nemi ipan se tetl.	Se topiltsi okiski omototonito ipan se tetl.	35.5433
31	Se ateskatl ika xiuhtik atlatl.	Se ateskatl inauak se kali. Kiyaualojtok kuajyo.	27.6715
32	Se atoyatl ika kuajyo uan mixtli. Ik uejka kajki se tepetl.	Ateskatl ika ateskilitl inauak kuajyo.	29.9802
33	Se siuatsintli ika xochitlakemitl moseuijtok itlan se ueyi kuauitl.	Se siuatsintli ika itlaken xochijyo itlanpa se aueuetl uejkapantik.	43.5250
34	Se ima kipixtok se xiuitl.	Serakilitl, xokok uan uelik ika se tlaxkali.	13.5170
35	"Se xochitl tlen kiluiaj ""tlaxochitl"" non chichiltik."	"Xiuitl non kiluiaj ""kajkauapajtli"" uan tlapaleuia ijkuak ikaj aminajtok."	20.3874
36	Ipan se tliltik tepuzcaxitl motzoyonia chichiltik chiltepitl ika komino uan okseki tlakuali.	Seki soyonkej chilmej.	15.3202
37	Se milpan, uejka kajki se kuajyo uan se tepetl.	Se gladiolajtooktli inauak se mila. Ik uejka tepeyo uan tlamixtentok.	22.2177
38	Se kuauitl ika yankuik ixiujyo ipan se tepetl.	Se mamayotsintli kinextia yankuik xiuitl.	32.4551
39	Se koatl kinextia itech xiuitl uan talcuechactzin.	"Se kouatl non kiliaj ""palanka""."	18.5972
40	Se tepetl ika miakej kaltsitsintin. Tlachipajtok.	Miakej kalmej ipan tepetl.	36.8564
41	Se chilkatl ipan tlaltikpak ika xiuitl.	Se mantis ipan tlali.	34.7057
42	Se tlakatl ika xochikoton nemi ipan se ojtli.	Se tlakatsin non otekipanoto mokopa icha ijkuak yitlayoua ik tepetl.	20.5450
43	Se chichiltik xochitl ika miak xiuitl.	Seki buganbiliajxochitl.	27.2861
44	Se ameyalotl ipan se xiuitl.	Se tokatsin ipan se omikilitl.	31.8662
45	Se xochitl ika xoxoktik xiuitl.	Se pitsauaxochitl non yopejki pitsuaki.	22.0968
46	Se pitsauaxochitl non yopejki pitsuaki.	"Se xochitl tlen kiluiaj ""pitsauaxochitl""."	35.1715
47	Se ojtli kiyaualojtok inauak kalmej uan kuajyo.	Se ojtli tlen tlakoloua uan katej seki kalmej uan olochkuauitl tlen okintepankej.	29.4106
48	Se ueyi olochkuauitl inauak se tepantli.	Miak olochkuauitl okintepankej inauak se tepankali..	47.8823
49	Se tlakatsintli moseuijtok ipan se kaltsintli non okinpankej ika tlilxochitl.	Se tenantsin ika ialtepetlaken kichixtok karro kaltentli, ojtenpa.	24.9170
