idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
10	Se observan varias palmeras altas con hojas verdes y troncos grises bajo un cielo azul claro. A la derecha, hay una lámpara de metal.	Ya'abach xa'ano'ob ya'ax u le'o'ob, yéetel sak u k'abo'ob, yóok'ole' azul le ka'analo', tu tséelile' yaan junp'éel sáasil.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.		30,45,7,15,31,32,9,36,43,5,22,24,37,46,0,2,6,16,18,19,25,26,27,28,33,44,1,12,13,20,21,23,29,35,38,39,40,47,49,4,11,14,34,41,42,48,3,8,17	4250	59	4309	
11	La imagen muestra un muro blanco con un diseño verde en la parte superior y un símbolo que parece una cruz maya en el centro. Alrededor del muro hay hierba seca y árboles en el fondo.	Le lela' junp'éel koot sak yéetel ya'ax u bonil, yaan xan junp'éel cruz ichil.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.		1,14,22,33,7,20,27,30,38,49,6,15,24,31,40,43,0,2,3,12,16,17,19,21,32,37,44,45,47,4,18,25,26,29,36,48,9,10,13,23,28,35,39,41,42,46,5,8,34	4229	35	4264	
12	Una enredadera con hojas verdes y flores rosadas crece a lo largo de una cerca de alambre. El entorno muestra tierra seca y vegetación densa en el fondo.	Le xa'an ti yaan aktáan le bardao'.	Junkúul k'áax yaan u loolo'ob de sakchak.		7,16,27,28,30,48,31,37,49,11,14,15,20,21,32,33,36,38,39,44,45,46,47,0,1,2,6,10,17,19,22,25,29,35,41,4,9,13,18,23,26,40,43,3,5,24,34,42,8	4256	14	4270	
13	Un coche rojo está estacionado frente a una casa amarilla con ventanas con rejas y un pequeño muro de piedra. Al lado, hay una estructura con un techo de palapa y una cerca de madera blanca.	Chak kisbuuts' ti' yaan tu táan junp'éel k'an naj.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.		18,23,37,43,36,39,7,16,38,20,22,24,26,40,42,48,1,5,10,21,25,28,33,34,41,44,45,46,49,0,3,4,6,11,12,17,27,35,47,2,8,9,14,29,30,31,32,15,19	4240	23	4263	
14	La imagen muestra una planta de agave con una alta inflorescencia que tiene múltiples ramas con flores amarillas y verdes. En el fondo, se pueden ver árboles y una estructura metálica que parece soportar la planta.	Le lela' junp'éel pak'al ya'ax, ya'ab u loolo'ob k'an yéetel ya'ax.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.		19,33,11,15,22,30,31,1,6,20,36,40,44,2,3,24,25,27,32,37,38,47,0,9,12,45,48,4,7,8,21,23,28,34,35,41,46,49,5,10,16,17,18,26,39,43,13,42,29	4253	35	4288	
15	La imagen muestra un árbol de papaya con frutos verdes colgando de su tronco, rodeado de hojas verdes y secas. En el fondo, se observan otros árboles y plantas tropicales bajo un cielo nublado.	Junkúul put yaan u yich, paachile' ya'akach che'ob yéetel k'áaxo'ob, yóok'ole' ya'ab muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.		30,31,19,36,32,10,14,27,33,37,44,45,1,9,22,25,40,2,6,7,11,20,24,38,47,0,3,12,16,21,35,43,46,48,49,4,17,26,28,29,34,5,18,23,41,39,42,8,13	4243	46	4289	
16	Una flor de color púrpura con un centro rojo está rodeada de hojas verdes en un entorno natural. Las hojas tienen manchas y agujeros, y hay una hoja amarilla en el fondo.	Junkúul chak lool yaan u le' ya'ax.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.		28,12,17,38,44,47,49,7,9,13,27,31,35,40,45,46,48,0,1,10,11,15,18,20,21,22,23,24,25,26,29,30,32,33,36,39,43,2,4,19,37,41,3,5,6,14,34,8,42	4240	16	4256	
17	Una gallina blanca con un pico rojo está picoteando el suelo en un terreno despejado con rocas y hojas secas. El entorno es natural, sin elementos que sugieran una influencia cultural maya específica.	Juntúul sak kaax ku janal yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.		47,16,28,44,0,1,7,11,29,30,31,33,35,40,43,45,46,48,49,12,15,18,24,25,36,37,38,39,41,2,3,4,5,6,9,13,14,19,20,21,22,23,26,27,34,8,10,32,42	4257	18	4275	
18	Una silla de madera rústica está colocada frente a una puerta con detalles metálicos y pintura roja desgastada. Al lado de la silla, hay un tronco cortado sobre el suelo de concreto.	Junp'éel che' kulukbal tu táanil junp'éel chak joolnaj.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.		5,13,40,0,7,34,46,47,1,21,22,23,24,26,35,36,37,38,39,41,43,49,2,3,10,16,28,33,42,44,45,6,11,17,19,20,25,27,32,48,4,8,9,12,14,15,29,30,31	4234	23	4257	
19	La imagen muestra un árbol con un tronco grueso y ramas extendidas, cubierto de hojas verdes. En el fondo, se pueden ver hojas de palmeras y más vegetación.	Junkúul che' yaan u le' ya'ax, tu paachile' yaan xa'an.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.		14,44,15,27,33,47,1,22,30,31,32,40,6,9,20,24,35,37,46,49,0,2,7,10,11,28,36,38,45,3,4,12,16,18,25,26,34,48,5,17,21,23,41,43,29,39,42,8,13	4247	26	4273	
