idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
10	Una flor de color rosa pálido con pétalos suaves y bordes ligeramente ondulados, en un entorno con follaje verde desenfocado.	Se chichilistakxochitl kualtsin ika ixiujo xoxokuik tlen amo kuali nesi.	Se gladiolajxochitl non achtsin youakik.	10556,12113,9132,10300,5485,4277,9644,2142,15332,13682,1079,10768,12237,12240,15930,2714,8832,14931,13649,655,844,12410,11351,10750,1305,9143,14804,4270,3743,13749,3879,4212,10494,4708,3525,1254,4887,14395,5715,1961	14,8,24,43,46,18,25,31,33,7,11,13,15,26,27,28,35,37,38,1	6453	30	6795	312
11	Una flor naranja con pétalos densos y hojas verdes en el fondo, junto a una pared de textura rugosa.	Se kostik senpoalxochitl itlan se tepantli.	Se kualtsin senpoalxochitl non melajka xochitl.	4187,12237,12240,2823,2506,10747,4887,4224,15349,832,5120,13639,420,1079,1406,1068,13649,9143,8371,4277,8250,9626,11787,3808,11865,1691,7613,6066,13189,1138,7485,2616,11044,14315,908,15930,1745,1946,6089,1840	14,8,43,46,48,49,13,25,38,42,47,9,10,23,24,32,33,36,41,4	5628	16	6030	386
12	Una carretera asfaltada con línea amarilla se extiende entre vegetación densa bajo una densa niebla. No se observan personas ni elementos culturalmente identificables.	Se ojtli tlatlajko kuajyo uan semi ayauitok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	5031,15919,8523,14649,1562,4436,7497,9746,8214,11458,9766,2223,12368,4378,12658,7356,15524,10561,1864,2705,7306,10421,12879,15469,800,11057,1972,12057,10587,10930,14051,13990,4420,2606,15855,9656,10747,94,9626,14934	37,45,47,19,21,23,32,38,39,40,3,8,13,14,25,31,33,44,49,0	6126	20	6566	420
13	Una flor púrpura de plátano se asoma entre hojas verdes y amarillas en un entorno tropical. El suelo está cubierto de hojas secas y vegetación baja.	Se kuaxiloxochitl kostik uan xoxoktik ixijyo.	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	2616,4187,2823,12999,12258,4201,1069,2506,8840,1193,1604,2161,2943,3263,7549,9037,14682,15033,435,7613,1467,13649,832,5258,13513,7145,8250,846,8717,13689,9137,10841,15561,1931,15695,923,10281,7890,11044,3304	8,14,49,25,41,46,18,26,38,39,43,9,11,23,28,31,33,34,35,45	3700	19	4081	362
14	Una flor de color púrpura con pétalos largos y una parte amarilla en el centro, cuelga de un tallo verde entre hojas grandes y verdes en un entorno natural.	Se matlalxochitl tlen yolotl kostik.	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	5381,9132,832,13649,7890,3076,5827,2142,12113,4187,12237,2223,12410,6092,10768,7139,2714,12240,11057,9143,2823,7145,8288,10300,15930,13102,12226,1690,11589,10494,8250,127,10750,9088,12999,11351,9028,3223,4270,5662	8,43,46,13,10,25,11,24,26,38,18,28,31,7,9,23,33,34,35,41	6395	14	6755	346
15	Una extensión de hierba verde con árboles frondosos en primer plano, y al fondo montañas con una cima nevada bajo un cielo azul claro con nubes dispersas.	Se xoxoktik ixtlauak ika kuajyo, uan ik uejka tepeyo ika isepayayo iyak, tsikitsin mixtli kajki.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	12113,15930,2142,3034,13990,10300,8114,15469,10420,14063,4953,11488,10546,6623,3621,1138,7468,800,12410,4270,466,9234,6280,3525,3807,9132,1057,6089,9766,13649,14395,14801,10747,2944,11237,7485,2088,11835,4602,4627	37,6,32,23,29,7,18,31,33,0,21,10,14,19,20,22,27,35,36,38	5996	42	6376	338
16	Cuatro personas preparan comida en una cocina casera, con un hombre usando un delantal azul y otro sosteniendo un vaso, mientras dos mujeres cortan vegetales sobre una mesa con ingredientes y utensilios alrededor.	Nahui tlakaj tlatlakualchijchiuaj itech se kaltsintli. Ome siuamej kitetejkej xouikilitl uan se okichtli kipixtok se apastli.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	14801,10226,9028,9766,2142,7117,6623,14669,15469,12410,9132,11251,5827,6077,5715,4270,7353,1606,7269,6955,7975,5374,12226,10558,10335,5526,8321,9436,8288,7321,7022,6092,3138,7139,1534,6119,3223,14395,3034,5939	2,3,5,22,0,1,7,15,17,24,34,36,37,38,46,6,8,10,14,18	6092	51	6545	402
17	Una mujer con un huipil bordado de flores azules y amarillas está cortando carne sobre una tabla de madera en un espacio con paredes de piedra. A su lado hay un recipiente con arroz blanco y un balde verde.	Se siuatsin ika iuanpil xochiyo tekiti nakatl ipan se kuautlapali, inauak onka se kaxitl ika istak arroz uan se kaxitl xoxoktik.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	9132,2142,9766,3223,3034,12410,13990,15535,6341,4270,10747,14801,1512,8857,3525,5939,5827,14395,7022,6623,420,14669,940,4337,12897,13809,9705,8288,3304,6918,1606,844,7321,7763,4145,2854,12226,15930,11322,7550	49,1,36,41,9,22,42,47,0,2,4,7,13,18,21,33,35,38,46,48	7124	50	7483	309
18	La imagen muestra troncos de árboles en un bosque denso, con corteza moteada y varias estructuras hexagonales de cera adheridas a sus ramas. El entorno está lleno de follaje verde y se vislumbra cielo azul entre las hojas.	Sekimej pipiyolpanali ipan se kuajyo.	Se xonokuauitl ika xonokuilmej.	6227,466,4953,9887,2992,12113,14957,13038,11554,12194,10340,15042,10300,4672,13756,3034,4760,8783,10368,8182,12355,15907,6623,6145,771,15115,15184,566,1879,13649,10768,4283,4308,923,752,8975,6343,7013,1918,6723	31,32,8,19,33,37,38,4,9,13,14,15,23,40,41,43,0,7,10,21	7086	15	7530	429
19	La imagen muestra una extensa vista de montañas cubiertas de bosque denso bajo un cielo parcialmente nublado. Se observan líneas eléctricas cruzando el primer plano entre la vegetación.	Tepemej kuajtok uan tlamixtentok uan itlanpa panotokej seki tekonemej.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	11194,1830,13684,8661,771,1387,14869,13191,15907,13786,4602,15590,12658,6343,11554,9305,12194,11057,8114,466,16140,5827,7245,2148,2092,8288,6202,2349,13990,9286,5787,6092,13982,588,11576,477,14239,9902,11444,14886	37,18,23,29,32,38,0,8,15,21,31,9,13,33,35,43,3,6,7,12	6435	30	6934	469
