id	prediction	reference	chrfpp_sentence
29	Sekimej maseualmej motlaliaj inauak se tlaltempan.	Seki altepetlakamej uan topilmej kitookaskej akin omomikili. Katej itlanpa se kuauitl uan ik uejka kajki se tepetl ika se ojtli itlajkotia.	12.3825
30	Se cuetzpalin ika ixelouh xoxoctic ipan se tetl.	Se topiltsi okiski omototonito ipan se tetl.	36.2186
31	Se ateskatl ika kuajyo uan se kaltsintli.	Se ateskatl inauak se kali. Kiyaualojtok kuajyo.	41.8383
32	Se kuajyo ika ateskatl. Tlachipajtok.	Ateskatl ika ateskilitl inauak kuajyo.	36.9921
33	Se siuatl ika chichiltik kamisa uan xochitlajkuiloli tilmatli motekak inauak se ueyi kuauitl.	Se siuatsintli ika itlaken xochijyo itlanpa se aueuetl uejkapantik.	27.8999
34	Se ma kikuij se xiuitl ika naui ixiujyo.	Serakilitl, xokok uan uelik ika se tlaxkali.	18.2371
35	Se xochitl ika xoxoctic ixiujyo uan chichiltic ixochiyo.	"Xiuitl non kiluiaj ""kajkauapajtli"" uan tlapaleuia ijkuak ikaj aminajtok."	10.2051
36	Ipan se tliltik tepuzcaxitl katej tlaxexelololi chiltetepontli uan xinachtli.	Seki soyonkej chilmej.	12.7104
37	Se ixtlahuak ika kuajyo uan tepeyo.	Se gladiolajtooktli inauak se mila. Ik uejka tepeyo uan tlamixtentok.	21.1453
38	Se kuauhtli ika yikin kueponij ixiujyo. Uejka nesi se xiuhtlali uan se kaltsintli.	Se mamayotsintli kinextia yankuik xiuitl.	25.2850
39	Se koatl ika tliliuik uan istak tlamachiotl motlapiloltikaj itzalan xoxoik xiuitl uan tlali ika mosko.	"Se kouatl non kiliaj ""palanka""."	18.0904
40	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok kuajyo.	Miakej kalmej ipan tepetl.	22.8710
41	Se akatlachianani ipan tlalli, inauak uakki xiuitl uan tetl.	Se mantis ipan tlali.	31.0615
42	Se tlacatl nemi ipan se ojtli inauak se tepetsintli.	Se tlakatsin non otekipanoto mokopa icha ijkuak yitlayoua ik tepetl.	19.7920
43	Se buganbilia ika xoxoktik ixiujyo uan chichiltik ixochiyo.	Seki buganbiliajxochitl.	35.4005
44	Se tokatl ika kuanauak ikxiuan uan kostik itlakayo ika tliltik tlatlaualoli ipan se xiuitl.	Se tokatsin ipan se omikilitl.	33.7431
45	"Se xochitl tlen kiluiaj ""tlilxochitl""."	Se pitsauaxochitl non yopejki pitsuaki.	21.2913
46	Se matlalxochitl non yopejki pitsuaki.	"Se xochitl tlen kiluiaj ""pitsauaxochitl""."	24.7450
47	Se ojtli ika kaltsitsintin. Inauak se puerta kajki se olochkuauitl.	Se ojtli tlen tlakoloua uan katej seki kalmej uan olochkuauitl tlen okintepankej.	29.9470
48	Se ueyi tlatepeualtil kuauitl tlen okintepankej itlanpa se tepantli tlen xamixtli uan se kali tlen chikiuitl.	Miak olochkuauitl okintepankej inauak se tepankali..	36.2751
49	Se tlakatsintli ika ichaketaj chichiltik uan itlaken youik moseuijtok itlanpa se kali tlen okinpaltik chichiltik.	Se tenantsin ika ialtepetlaken kichixtok karro kaltentli, ojtenpa.	26.0640
