id	prediction	reference	chrfpp_sentence
33	Se siuatsintli ika kualtsin sotsol monakatsinijtok itech inakuayo se ueyi kuauitl.	Se siuatsintli ika itlaken xochijyo itlanpa se aueuetl uejkapantik.	36.7785
34	Ikaj ima kipixtok se xiuitl uan se yaualiuitl.	Serakilitl, xokok uan uelik ika se tlaxkali.	18.7428
35	Seki chiltik xochimej kuetlasojkej ik se kuauitl.	"Xiuitl non kiluiaj ""kajkauapajtli"" uan tlapaleuia ijkuak ikaj aminajtok."	11.7478
36	Ipan se tepuskaxitl tlitik motsoyoniaj chiluakili ika komino uan seki xiuinauixtin.	Seki soyonkej chilmej.	19.6583
37	Se ueyi mila, ik uejka kajki tepeyo uan semi tlamixtentok.	Se gladiolajtooktli inauak se mila. Ik uejka tepeyo uan tlamixtentok.	43.7998
38	Se kuauxiotl selik ipan se ixtlauak, uan uejka nesi se kali.	Se mamayotsintli kinextia yankuik xiuitl.	18.1845
39	Se koatl tlaelchikopiltik nesi inauak se kuaujtoli apachyo uan inauak se taltsoli.	"Se kouatl non kiliaj ""palanka""."	19.3967
40	Tepetl kiyaualojtok kuajyo uan katej seki kaltsitsintin intsalan kuatin, uan tlachipajtok.	Miakej kalmej ipan tepetl.	17.5856
41	Ipan tlaxiuitsolyo, onka se xoxoktik chapolin uan inauak se tlamantli chichiltik.	Se mantis ipan tlali.	20.2895
42	Se tlacatl nemi itech se tepetl non kipixtok itlaken kosauik, itlanpa kajki se teposmekatl uan semi tlatojtoka in tonali.	Se tlakatsin non otekipanoto mokopa icha ijkuak yitlayoua ik tepetl.	25.3320
43	Se chichiltik xochitl ika xiujyomej iuan seki kuaujtlatlantsintli.	Seki buganbiliajxochitl.	23.3313
44	Se tokatl ipan se xiuitl xoxoktik.	Se tokatsin ipan se omikilitl.	41.4246
45	"Se xiuitl ika xochitl tlen kiluiaj ""camohtlapalxochitl""."	Se pitsauaxochitl non yopejki pitsuaki.	23.6429
46	Se xoxokxiuitl ika xochitl tlen kamojtik kemej sitlali.	"Se xochitl tlen kiluiaj ""pitsauaxochitl""."	40.5660
47	Ojtli monamiki iuan miakej kalmej kanin tlatlatilo.	Se ojtli tlen tlakoloua uan katej seki kalmej uan olochkuauitl tlen okintepankej.	17.8878
48	Sekimej olochkuauitl uan se tepamitl.	Miak olochkuauitl okintepankej inauak se tepankali..	33.2631
49	Se siuatsintli moseuijtok ikalli tlatlapouiloya inauak se kuauitl.	Se tenantsin ika ialtepetlaken kichixtok karro kaltentli, ojtenpa.	17.3251
