id	prediction	reference	chrfpp_sentence
14	Junkúul ya'ax ki'i yaan u loolo'ob tu k'ab, paachile' ya'abach che'ob.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	33.3054
15	Junkúul put yaan u yich, ya'ax u lool, yaan xan u le'o'ob, paachile' ya'akach che'ob yéetel yaan xan muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	34.3372
16	Junp'éel lool ch'ojchak u bonil.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	10.1220
17	Juntúul sak kaax táan u jantik ba'al yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	57.8475
18	Úuchben che' kulukbal tu tséel pak' yéetel grafiti.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	22.7449
19	Junkúul nukuch che' yaan u le' ya'ax, tu paachile' yaan xa'ano'ob yéetel ya'abach k'áax.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	31.2291
20	Junp'éel naj beeta'an yéetel che' yéetel u yóok'ol le' che'o', yaan xan junp'éel lona azul tu yóok'ol, tu tséel junp'éel nojoch che' ichil k'áax.	Junp'éel u naj k'áax beyxan yaan tu táanil junkúl che'.	30.5286
21	Juntúul ko'olel yéetel sak nook' yaan u loolo'ob, táan u wa'atal tu tséel junp'éel k'áax.	Nojoch máak yéetel u huipil de flores jejeláas bonilo'ob, wa'akbal tu tsel U pak'alo'ob.	23.2756
22	Ichil junp'éel naj beeta'an yéetel che' yéetel k'a'an, yaan junp'éel k'áak'náaj beeta'an yéetel tuunich, tu'ux ku ch'a'abal k'áak' yéetel boox k'i'iwajo'ob.	Chi' k'aak' yettel nixtamal ti naaj.	16.0292
23	Nojoch k'áak' yéetel k'áax, tu tséelile' yaan jump'éel chan k'áax.	Ki'iwaj ku lo'kansaj	7.7717
24	Juntúul máak ku janal tu táan jump'éel chak meex, yóok'ole' yáan empanada'ob, paachile' yáan jump'éel koot.	Jump'éel naj tu'ux ku ts'áajal polcanes, yáan nu'ukulo'ob yook'ol mesa, yéetel jump'éel ollia paachil juntúul máak ku k'aaxik jump'éel bolsaa.	30.6182
25	Juntúul miis kulukbal tu jool naj, tu paachile' yaan ya'akach che'ob.	Jump'éel xa'anil naj tu'uxan juntúul chan míis p'ukukbal chumuk, paachile' sáasil yéetel k'íin, yáan ya'akach kúul che'ob ku wilk'ajab, yéetel xane´muñalo'ob ku mano'ob.	21.4176
26	Juntúul ko'olel táan u líik'sik u janale' tu tséel yaan ya'abach p'úulo'ob.	Máak ku tsiktik kaax yeetel ku patikk tamali'	12.9293
27	Junp'éel pak' tuunich yaan tu tséel ya'abach ya'ax k'áax, sáasil k'íin ku jultik ichil le che'o'.	Jump'éel solar tu'ux yáan ya'akach kúul che'ob tu pachil, táanile' yáan xiimo'ob ts'u jolo'ochtalo'ob, yóok'ole' yáan bu'ul ku t'i'it'pajal, taanile' yaan jump'éel koot chowak.	15.6596
28	Winik ku xíimbal ich k'áax.	Winik ku xiimbal ti k'aax.	44.0654
29	Junp'éel melón yaan u boonil ya'ax yéetel sak, tu tséelile' yaan tuunicho'ob yéetel ya'ax k'áax.	K'uum ku kajal u tak'antaj yook'ol boox lu'um, tu ba'asche' yáan ya'akach tunicho'ob yéetel k'áaxo'ob.	28.0528
30	Tikin nal ku p'atik u beel máak, paachile' ya'akach che'ob ya'axtako'ob, juntúul máak ku xiimbal.	Winik wa'akbal yáanal ya'akach che'ob, táanile' óoxp'el kul xiim, yéetel kaanle' azul mina'an muñal ku wilk'ajab.	27.5655
31	Junp'éel nal tikin yéetel xeej, yéetel u le'o'ob k'an, ch'uyukbal tu k'ab junp'éel che' ichil ya'ax k'áax yéetel che'ob yáanal junp'éel azul ka'an.	Xiim ts'ok u jaantal tumen ba'alche'ob, paachile' ya'akach che'ob ya'axtako'ob, mina'an muñal ku man ka'anal.	24.5298
32	Junp'éel k'ab che' ya'ax u le' yéetel u k'u ch'íich' ti' yaan yáanal le sáasilo'.	Sáasil k'íin ku jultik jump'éel chan nido chan ch'iich ch'uyukbal tu kul k'i'ixil che', azul le ka'analo'.	19.2155
33	Ya'ab máako'ob ku máano'ob ichil junp'éel naj tu'ux ku k'a'aytaj, paachile' yaan junp'éel bandera de México.	U noj najil ku' tuux much'ukbal ya'akach winiko'ob, táanile' jump'éel nok' u bonilo'obe' yáax, sak, yéetel chak, chúumuke' ch'uyukbal banderrillas jejeláas bonilo'ob.	17.9739
34	Junp'éel tunich yaan óoxp'éel u jool, yóok'ol junp'éel boox nu'ukul, tu tséelile' yaan junp'éel chak' jool naj.	Kiiwaj maka'an yettel block.	10.5287
35	Winik ku k'axik junkúul che' yéetel su'um.	Winik ku k'aaxik u si' yeetel aak'.	38.9446
36	Ichil jump'éel naj yéetel u yóok'ol xáanil, ya'ab máako'ob ku kúuchkabal yóok'ol lu'um, ka'atúul peek'o'ob ku p'atik u yich tu táanil. Paachile' ya'ab che'ob yéetel jump'éel naj yéetel u yóok'ol lamina yáanal jump'éel ka'anal yéetel junp'éel chan múuyal.	Peek'o'b walakbalo'ob jool naj, ichil le najo' yáan wíiniko'ob kulukbalo'ob, paachile' yáan che'ob yéetel jump'éel naj.	36.9909
37	Juntúul boox peek' ku weenel yook'ol bej, tu tséelile' jump'éel koot tunich yéetel ya'ax k'áax, paachile' jump'éel sak naj yéetel u yóok'ol azul.	Chan peek' chilikbaj yook'ol carretera, paachile' yáan ya'akach che'ob yéetel jump'éel chowak koot, tu taamile' yáan jump'éel sak naj.	41.6777
38	Junp'éel naj beeta'an yéetel che' yéetel su'uk, yaan junp'éel bicicleta tu tséel, yéetel ya'abach kúul che'ob tu paach.	Bicicleta najkunsa' tseel úuchben xa'aninaj.	22.0298
39	Juntúul ch'íich' yaan yóok'ol junp'éel che', tu tséelile' yaan junp'éel nu'ukul.	Baach u mot'mubal tu weenel tu tsel apagador ichil naj.	14.2804
40	Juntúul boox yéetel sak miis wa'akbal yóok'ol junp'éel naj, tu paachile' yáan ya'akach che'ob.	Chan míis ku máan yook'ol lamina, yóok'ole' junkúul che', tu tséelile' jump'éel cubeta ch'uyukbal, paachile' jump'éel naj u yóok'ole' de lamina.	24.5120
41	Máak ku ts'áaik bu'ul ichil junp'éel nu'ukul.	Juntúul máak ku xiixtik sak ibo'ob.	16.7602
42	Juntúul k'an míis ku weenel yóok'ol junp'éel koot tuunich, tu táanil junp'éel koot che'.	Le miiso' te chilikbal yookol le pak'il le najo'.	13.4051
43	Junp'éel camión yaan tu tséel junp'éel naj, yáan xan junp'éel chak k'áanche' tu tséel.	Tu tséel le sakchak najo', yaan  junpeel sak kisbuuts' yéetel junkúl xa'an.	26.9440
44	Junkúul che' mina'an u le' yaan tu tséel junp'éel torre, paachile' yaan ya'akach xa'ano'ob.	Le che'o' mina'an u le', ba'ale' ya'ab u yich tu tséele' yaan junkuul xa'an.	43.2169
45	Junkúul che' mina'an u le', ba'ale' yaan u yich, tu paachile' yaan ya'ax k'áax, yéetel ka'an yaan sak muñalo'ob.	Le sakpakalo'obo' ti'  yano'ob tu k'ab le che'o', le cheo' ya'ab u yich.	26.1452
46	Juntúul boox pepen yaan u chak boonil tu k'ab junkúul che' ya'ax u le', yóok'ole' azul le ka'analo'.	Le boox péepen ti' yaan tu k'ab le che'o'.	32.0623
47	Juntúul sak t'eel yéetel u k'aaxil chak, yéetel juntúul boox kaax, yáanal ya'akach che'ob, yéetel ya'akach le'ob.	Juntúul sak kaax yéetel juntúul book kaax ti ya'ano'ob yaanal le che'o'.	43.8628
48	Junp'éel boonil ti' pak' tu'ux ku yila'al juntúul máak ku ts'íibtik yóok'ol junp'éel tunich.	Te boona' ya'an juntúul ch'uup ku yiik biix u taabal le k'áako'.	23.5346
49	Junkúul che' yaan u loolo'ob de sakchak tu tséel carretera.	Junkúul sakchak lool yaan yookol le bejo'.	33.5160
