idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
10	Árboles de palma con troncos altos y hojas verdes se elevan contra un cielo azul intenso y sin nubes. A la derecha, se observa parte de un poste de alumbrado público.	Junkúul xa'an jach ka'anal u wíib, tu tséelile' yaan junp'éel poste.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	10854,10841,10837,10867,10866,10869,10847,10862,10829,10871,10842,10834,10836,10856,10853,10865,10088,10844,10858,10859,10848,29,10851,10833,6559,10838,10543,10852,1625,8271,4295,10849,10846,1075,10861,3285,618,9667,10860,10831	7,20,32,34,49,15,19,25,40,44,45,12,36,37,43,47,1,2,9,13,14,22,24,27,31,6,11,16,18,21,26,29,30,39,41,0,5,23,28,38,42,46,48,4,17,33,35,3,8	7803	32	7835	
11	Un panel blanco con motivos geométricos verdes y un diseño de cruz estilizada en negro, ubicado detrás de hierba seca y rodeado de árboles. En primer plano, una acera de baldosas rojas y una sombra proyectada sobre el suelo.	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' ya'akach su'uk, táanile' yaan jump'éel bej.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	10862,10854,10834,10844,10824,10853,10871,10822,10865,10861,10837,10836,10856,10866,10843,10868,10869,9667,10863,10859,10829,10849,74,2397,4870,10828,2614,10832,10840,10848,10846,10847,10405,157,10845,10841,10842,1753,10286,10860	40,2,22,0,6,15,32,34,37,43,49,7,12,13,14,21,24,25,30,31,36,39,41,47,4,17,18,19,20,23,26,27,33,44,45,46,48,1,5,9,10,16,28,29,35,38,42,3,8	7665	48	7713	
12	Una planta con flores de color rosa intenso y hojas verdes crece junto a una cerca de alambre de púas. El suelo alrededor está cubierto de tierra seca y restos vegetales.	Junkúul sakchak lool yaan tu tséel le k'i'ixil kooto'.	Junkúul k'áax yaan u loolo'ob de sakchak.	10871,10862,10837,10843,10869,10839,10863,10840,10841,10832,10860,10833,10854,10829,10827,10835,10838,10836,10842,10830,10848,10865,10831,10851,10846,10849,10853,6002,10861,10864,10824,8864,10858,10868,8995,10775,9667,8495,10855,3761	49,21,13,40,5,7,15,17,18,43,6,10,11,20,32,34,41,47,2,9,14,19,24,25,26,27,29,36,37,38,39,1,8,16,22,23,30,31,33,42,0,3,4,44,46,48,28,35,45	7483	25	7508	
13	Una casa de paredes amarillas con rejas metálicas en las ventanas y una escalera de concreto que lleva a su entrada. A la izquierda, un automóvil rojo está estacionado junto a una cerca de madera blanca, con palmeras y cables eléctricos visibles en el entorno.	Junp'éel k'an naj yéetel rejas tu jool najo', tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	10865,10829,10830,10862,10834,10860,10861,10847,10864,10842,10871,10840,10844,10856,10831,10848,10843,10846,10845,10825,10863,10855,10836,10677,10869,10827,10870,2134,10828,10859,9667,8995,10833,10839,10823,10824,3904,3596,10854,1916	34,7,43,6,20,21,22,25,40,49,1,12,18,23,39,2,5,14,24,26,37,38,48,9,11,15,17,30,32,33,36,41,42,47,0,8,10,27,31,3,16,19,28,35,44,46,4,29,45	7555	36	7591	
14	Una planta de agave con un tallo alto y ramas que llevan inflorescencias verdes y marrones, en un entorno con árboles y estructuras metálicas al fondo.	Junkúul ya'ax ki'i yaan u loolo'ob tu k'ab, paachile' ya'abach che'ob.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	10837,10841,10865,10853,10869,10862,10851,10832,10861,10866,10834,10833,10871,10854,10852,10842,10843,10835,10857,10858,1916,10828,10856,9667,10824,10847,1753,10286,4410,10846,6342,10848,10859,10838,9224,10870,10844,10831,4994,10829	15,19,43,13,31,34,36,40,47,49,6,11,20,21,24,25,30,39,44,0,1,2,4,7,10,12,16,22,26,27,29,32,35,37,48,9,17,18,23,28,33,38,41,46,5,42,45,3,8	7786	35	7821	
15	Una planta de papaya con frutos verdes agrupados en el centro, rodeada de hojas grandes y algunas secas, en un entorno tropical con árboles y cielo nublado.	Junkúul put yaan u yich, ya'ax u lool, yaan xan u le'o'ob, paachile' ya'akach che'ob yéetel yaan xan muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	10836,10860,10869,10832,10854,10862,10841,10834,10848,10849,10858,10842,10867,10853,10865,10871,10861,10859,10833,10851,10843,10857,10866,10831,10847,10838,10829,10868,10856,9667,10824,4410,618,9690,10863,10828,6342,10844,2991,1753	14,36,40,32,43,47,49,10,11,12,19,20,25,26,31,37,38,2,6,7,13,21,22,27,30,34,39,45,0,9,16,17,24,29,33,35,41,44,46,1,4,5,18,23,28,48,42,3,8	7466	52	7518	
16	Una flor de color púrpura intenso con forma de campana se destaca entre follaje verde en un entorno natural.	Junp'éel lool ch'ojchak u bonil.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	10871,10834,10868,10857,10831,10862,10853,10846,10842,10861,10843,10840,10837,10832,10856,10836,10869,10867,3904,10841,4711,10852,10863,10859,10824,9102,4407,3027,10848,5127,7340,4500,8914,1613,6307,10864,10750,9667,10847,10823	49,24,34,40,2,14,15,19,20,21,22,25,30,31,35,36,37,39,46,47,0,6,7,9,10,11,12,13,18,26,28,41,43,44,45,1,4,5,17,23,27,29,32,33,38,42,48,3,8	8431	15	8446	
17	Una gallina blanca con cresta roja está picoteando en el suelo de tierra y piedras.	Juntúul sak kaax táan u jantik ba'al yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	10834,10869,10824,10827,10862,10863,10859,10865,10860,10840,10858,10843,10856,9443,10848,10828,1510,10835,10830,10825,3723,10846,10589,5868,2872,10847,8063,4922,3647,5323,60,8810,7068,8951,2881,4720,618,10845,10855,6649	2,12,40,5,6,13,21,25,34,36,37,43,47,11,15,22,24,26,30,33,38,41,49,0,7,14,18,20,23,31,32,39,1,3,4,8,9,16,19,27,28,29,35,44,46,48,10,42,45	8019	23	8042	
18	Una banca de madera vieja y desgastada descansa junto a una pared de color rojizo con grafiti, frente a una ventana con reja de hierro forjado. A su lado, un tronco cortado sirve como banco o soporte, sobre un suelo de concreto.	Úuchben che' kulukbal tu tséel pak' yéetel grafiti.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	10864,10863,10868,10861,10834,10862,10845,10846,10860,10856,10842,10859,10871,10835,10830,10857,10829,10825,10831,10823,10827,10844,10843,10838,10865,10870,10847,10828,10824,10869,10858,10833,5417,10839,10848,10405,6736,9667,10854,10822	34,42,13,23,39,1,7,12,20,24,37,40,41,49,6,9,21,22,38,43,48,0,2,5,11,25,36,46,47,3,8,10,14,15,16,17,19,26,27,30,31,32,35,44,4,28,29,33,45	7091	20	7111	
19	Un árbol grande con tronco grueso y ramas extendidas, cubierto de hojas verdes brillantes bajo luz solar. Al fondo, se ven hojas de palma y vegetación densa en un entorno tropical.	Junkúul nukuch che' yaan u le' ya'ax, tu paachile' yaan xa'ano'ob yéetel ya'abach k'áax.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	10849,10871,10866,10847,10842,10851,10832,10869,10837,10854,10860,10862,10836,10867,10834,10853,10850,10843,10848,10858,10859,10857,560,10861,10829,10868,10833,10343,10852,10846,10856,10840,4410,5896,10838,4363,29,9841,1995,10826	49,25,44,36,14,20,27,40,10,15,21,24,29,31,37,47,7,28,32,34,38,45,2,4,6,11,12,16,22,26,30,35,39,43,46,0,1,13,18,23,41,48,9,17,33,5,42,3,8	7462	41	7503	
