id	prediction	reference	chrfpp_sentence
22	Ichil naj beeta'an yéetel che' yéetel k'a'an, yaan k'áak' tu'ux ku p'o'ok'ol k'i'iwajo'ob, tu tséelile' yaan jump'éel cubeta azul.	Chi' k'aak' yettel nixtamal ti naaj.	16.2246
23	Nojoch k'áak' tu'ux ku ch'uyukbal junp'éel nojoch k'áan.	Ki'iwaj ku lo'kansaj	10.6535
24	Juntúul máak ku janal empanada, tu táanile' yáan junp'éel chak meex, paachile' yáan ya'akach k'áax.	Jump'éel naj tu'ux ku ts'áajal polcanes, yáan nu'ukulo'ob yook'ol mesa, yéetel jump'éel ollia paachil juntúul máak ku k'aaxik jump'éel bolsaa.	23.1291
25	Juntúul miis kulukbal tu jool naj, tu paachile' yáan ya'akach che'ob.	Jump'éel xa'anil naj tu'uxan juntúul chan míis p'ukukbal chumuk, paachile' sáasil yéetel k'íin, yáan ya'akach kúul che'ob ku wilk'ajab, yéetel xane´muñalo'ob ku mano'ob.	23.4222
26	Juntúul ko'olel táan u ts'a'abal u janale' tu tséel ya'abach p'u'uko'ob.	Máak ku tsiktik kaax yeetel ku patikk tamali'	10.6812
27	Junp'éel koot tu tséel ya'abach che'ob yéetel sáasil k'íin.	Jump'éel solar tu'ux yáan ya'akach kúul che'ob tu pachil, táanile' yáan xiimo'ob ts'u jolo'ochtalo'ob, yóok'ole' yáan bu'ul ku t'i'it'pajal, taanile' yaan jump'éel koot chowak.	12.8116
28	Winik ku xíimbal ich k'áax.	Winik ku xiimbal ti k'aax.	44.0654
29	Junp'éel melón ya'ax yéetel sak u bonil, yaan tu tséel tuunich yéetel k'áax.	K'uum ku kajal u tak'antaj yook'ol boox lu'um, tu ba'asche' yáan ya'akach tunicho'ob yéetel k'áaxo'ob.	21.7824
30	Xiim ts'o'ok u kíimil tu tséel bej, paachile' juntúul máak ku xiimbal.	Winik wa'akbal yáanal ya'akach che'ob, táanile' óoxp'el kul xiim, yéetel kaanle' azul mina'an muñal ku wilk'ajab.	13.6848
31	Junp'éel nal tikin yéetel k'a'am u yich, ch'uyukbal tu k'ab junp'éel che', tu paachile' ya'ax k'áax yéetel azul ka'anal.	Xiim ts'ok u jaantal tumen ba'alche'ob, paachile' ya'akach che'ob ya'axtako'ob, mina'an muñal ku man ka'anal.	29.7204
32	U k'ab che' yéetel u le' ya'ax, yéetel u k'u' ch'íich' ch'uyukbal yóok'ol sáasil ka'an.	Sáasil k'íin ku jultik jump'éel chan nido chan ch'iich ch'uyukbal tu kul k'i'ixil che', azul le ka'analo'.	23.2707
33	Ya'ab máako'ob ku máano'ob ichil jump'éel k'a'am naj, paachile' yaan jump'éel bandera yéetel ya'ab loolo'ob.	U noj najil ku' tuux much'ukbal ya'akach winiko'ob, táanile' jump'éel nok' u bonilo'obe' yáax, sak, yéetel chak, chúumuke' ch'uyukbal banderrillas jejeláas bonilo'ob.	22.7010
34	Junp'éel tunich yaan óoxp'éel u jool, yóok'ol junp'éel boox nu'ukul, tu tséelile' yaan junp'éel che' jool naj u bonile' azul.	Kiiwaj maka'an yettel block.	9.9189
35	Winik ku k'axik junkúul che' yéetel suum.	Winik ku k'aaxik u si' yeetel aak'.	38.7403
36	Ichil jump'éel naj, ya'ab máako'ob ku kúuchkabal yook'ol lu'um, ka'atúul peek'o'ob ku p'atik u yich tu jool naj, paachile' ya'akach che'ob yéetel jump'éel naj u yóok'ole' de lamina.	Peek'o'b walakbalo'ob jool naj, ichil le najo' yáan wíiniko'ob kulukbalo'ob, paachile' yáan che'ob yéetel jump'éel naj.	46.4626
37	Juntúul boox peek' ku weenel yook'ol bej, tu tséelile' jump'éel koot tunich yéetel ya'ax k'áax, paachile' jump'éel sak naj yéetel u yóok'ol azul.	Chan peek' chilikbaj yook'ol carretera, paachile' yáan ya'akach che'ob yéetel jump'éel chowak koot, tu taamile' yáan jump'éel sak naj.	41.6777
38	Junp'éel naj beeta'an yéetel che' yéetel su'uk, yaan junp'éel bicicleta tu tséel, tu paachile' ya'akach kúul che'ob.	Bicicleta najkunsa' tseel úuchben xa'aninaj.	22.4280
39	Juntúul ch'íich' yaan yóok'ol junp'éel che', tu tséelile' yaan junp'éel nu'ukul.	Baach u mot'mubal tu weenel tu tsel apagador ichil naj.	14.2804
40	Juntúul míis boox yéetel sak wa'akbal yóok'ol junp'éel naj, tu paachile' yáan ya'akach che'ob.	Chan míis ku máan yook'ol lamina, yóok'ole' junkúul che', tu tséelile' jump'éel cubeta ch'uyukbal, paachile' jump'éel naj u yóok'ole' de lamina.	25.4233
41	Juntúul máak ku ts'a'abal bu'ul tu k'ab.	Juntúul máak ku xiixtik sak ibo'ob.	42.2975
42	Juntúul k'an míis ku weenel yóok'ol jump'éel koot.	Le miiso' te chilikbal yookol le pak'il le najo'.	12.1193
43	Junp'éel camión yaan tu tséel junp'éel naj, yéetel junp'éel chak k'áanche', paachile' ya'akach che'ob.	Tu tséel le sakchak najo', yaan  junpeel sak kisbuuts' yéetel junkúl xa'an.	29.2973
44	Junkúul che' mina'an u le' yaan tu tséel junp'éel torre, paachile' yaan xa'ano'ob.	Le che'o' mina'an u le', ba'ale' ya'ab u yich tu tséele' yaan junkuul xa'an.	42.7872
45	Junkúul che' mina'an u le', ba'ale' yaan u yich, paachile' yaan ka'an yéetel sak muñalo'ob.	Le sakpakalo'obo' ti'  yano'ob tu k'ab le che'o', le cheo' ya'ab u yich.	25.6880
46	Juntúul boox pepen yaan u chak boonil tu k'ab che', yóok'ole' azul le ka'analo'.	Le boox péepen ti' yaan tu k'ab le che'o'.	34.0617
47	Juntúul sak t'eel yéetel juntúul boox kaax ku máano'ob tu k'áaxil.	Juntúul sak kaax yéetel juntúul book kaax ti ya'ano'ob yaanal le che'o'.	44.8035
48	Jump'éel boonil máak ku ts'a'abal u yich yóok'ol jump'éel tunich.	Te boona' ya'an juntúul ch'uup ku yiik biix u taabal le k'áako'.	19.0947
49	Junkúul che' yaan u loolo'ob sakchak tu tséel carretera.	Junkúul sakchak lool yaan yookol le bejo'.	33.9469
